category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
specialisation,across-stage dependent habitats,"Subtidal hard bottom, rocky reef",subtidalhardbottomrockyreef,Crossosalarias macrospilus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Crossosalarias macrospilus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Crossosalarias macrospilus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Crossosalarias macrospilus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Crossosalarias macrospilus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Crossosalarias macrospilus,fish_Beth,NA
biophysical traits,minimum depth,1,1,Crossosalarias macrospilus,fish_Beth,NA
biophysical traits,maximum depth,25,25,Crossosalarias macrospilus,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Ecsenius trilineatus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Ecsenius trilineatus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Ecsenius trilineatus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Ecsenius trilineatus,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Ecsenius trilineatus,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Ecsenius trilineatus,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","100,000-1M",1000001m,Ecsenius trilineatus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Ecsenius trilineatus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Ecsenius trilineatus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Ecsenius trilineatus,fish_Beth,NA
specialisation,within-stage dependent habitats,"Subtidal hard bottom, rocky reef",subtidalhardbottomrockyreef,Ecsenius trilineatus,fish_Beth,NA
specialisation,across-stage dependent habitats,"Subtidal hard bottom, rocky reef",subtidalhardbottomrockyreef,Ecsenius trilineatus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Ecsenius trilineatus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Ecsenius trilineatus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Ecsenius trilineatus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Ecsenius trilineatus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Ecsenius trilineatus,fish_Beth,NA
biophysical traits,minimum depth,1,1,Ecsenius trilineatus,fish_Beth,NA
biophysical traits,maximum depth,10,10,Ecsenius trilineatus,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Entomacrodus macrospilus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Entomacrodus macrospilus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Entomacrodus macrospilus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Entomacrodus macrospilus,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Entomacrodus macrospilus,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Entomacrodus macrospilus,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","10,000-100,000",10000100000,Entomacrodus macrospilus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Entomacrodus macrospilus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Entomacrodus macrospilus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Entomacrodus macrospilus,fish_Beth,NA
specialisation,within-stage dependent habitats,"Rocky intertidal, Subtidal hard bottom",rockyintertidalsubtidalhardbottom,Entomacrodus macrospilus,fish_Beth,NA
specialisation,across-stage dependent habitats,"Rocky intertidal, Subtidal hard bottom",rockyintertidalsubtidalhardbottom,Entomacrodus macrospilus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Entomacrodus macrospilus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Entomacrodus macrospilus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Entomacrodus macrospilus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Entomacrodus macrospilus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Entomacrodus macrospilus,fish_Beth,NA
biophysical traits,minimum depth,0,0,Entomacrodus macrospilus,fish_Beth,NA
biophysical traits,maximum depth,8,8,Entomacrodus macrospilus,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Entomacrodus stellifer,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Entomacrodus stellifer,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Entomacrodus stellifer,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Entomacrodus stellifer,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Entomacrodus stellifer,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Entomacrodus stellifer,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","100,000-1M",1000001m,Entomacrodus stellifer,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Entomacrodus stellifer,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Entomacrodus stellifer,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),medium tolerance,mediumtolerance,Entomacrodus stellifer,fish_Beth,NA
specialisation,within-stage dependent habitats,"Rocky intertidal, subtidal hard bottom, rocky reef",rockyintertidalsubtidalhardbottomrockyreef,Entomacrodus stellifer,fish_Beth,NA
specialisation,across-stage dependent habitats,"Rocky intertidal, subtidal hard bottom, rocky reef",rockyintertidalsubtidalhardbottomrockyreef,Entomacrodus stellifer,fish_Beth,NA
specialisation,no for all fishes?,no,no,Entomacrodus stellifer,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Entomacrodus stellifer,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Entomacrodus stellifer,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Entomacrodus stellifer,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Entomacrodus stellifer,fish_Beth,NA
biophysical traits,minimum depth,0,0,Entomacrodus stellifer,fish_Beth,NA
biophysical traits,maximum depth,5,5,Entomacrodus stellifer,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Hypleurochilus bananensis,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Hypleurochilus bananensis,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Hypleurochilus bananensis,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Hypleurochilus bananensis,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Hypleurochilus bananensis,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Hypleurochilus bananensis,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","10,000-100,000",10000100000,Hypleurochilus bananensis,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Hypleurochilus bananensis,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Hypleurochilus bananensis,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),high tolerance,hightolerance,Hypleurochilus bananensis,fish_Beth,NA
specialisation,within-stage dependent habitats,"Rocky intertidal,  rocky reef",rockyintertidalrockyreef,Hypleurochilus bananensis,fish_Beth,NA
specialisation,across-stage dependent habitats,"Rocky intertidal,  rocky reef",rockyintertidalrockyreef,Hypleurochilus bananensis,fish_Beth,NA
specialisation,no for all fishes?,no,no,Hypleurochilus bananensis,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Hypleurochilus bananensis,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Hypleurochilus bananensis,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Hypleurochilus bananensis,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Hypleurochilus bananensis,fish_Beth,NA
biophysical traits,minimum depth,0,0,Hypleurochilus bananensis,fish_Beth,NA
biophysical traits,maximum depth,0,0,Hypleurochilus bananensis,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Hypsoblennius striatus,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Hypsoblennius striatus,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Hypsoblennius striatus,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Hypsoblennius striatus,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Hypsoblennius striatus,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Hypsoblennius striatus,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","100,000-1M",1000001m,Hypsoblennius striatus,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),stenohaline,stenohaline,Hypsoblennius striatus,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Hypsoblennius striatus,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),high tolerance,hightolerance,Hypsoblennius striatus,fish_Beth,NA
specialisation,within-stage dependent habitats,"Rocky intertidal,  rocky reef",rockyintertidalrockyreef,Hypsoblennius striatus,fish_Beth,NA
specialisation,across-stage dependent habitats,"Rocky intertidal,  rocky reef",rockyintertidalrockyreef,Hypsoblennius striatus,fish_Beth,NA
specialisation,no for all fishes?,no,no,Hypsoblennius striatus,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Hypsoblennius striatus,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Hypsoblennius striatus,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Hypsoblennius striatus,fish_Beth,NA
biophysical traits,extreme pressure wave sensitive structures,no,no,Hypsoblennius striatus,fish_Beth,NA
biophysical traits,minimum depth,0,0,Hypsoblennius striatus,fish_Beth,NA
biophysical traits,maximum depth,5,5,Hypsoblennius striatus,fish_Beth,NA
biophysical traits,sub-category,BLENNIIDAE,blenniidae,Omobranchus anolius,fish_Beth,NA
r (reproductive traits),reproductive strategy,sexual dioeciuos,sexualdioeciuos,Omobranchus anolius,fish_Beth,NA
r (reproductive traits),how many times they spawn * number of reproductive years,"26-50 ? (Males spawn all year, but not clear how many times females deposit eggs).",2650malesspawnallyearbutnotclearhowmanytimesfemalesdepositeggs,Omobranchus anolius,fish_Beth,NA
r (reproductive traits),age to 1st reproduction/generation time,< 1 year,<1year,Omobranchus anolius,fish_Beth,NA
r (reproductive traits),max age,1-5 years,15years,Omobranchus anolius,fish_Beth,NA
r (reproductive traits),parental investment,egg care,eggcare,Omobranchus anolius,fish_Beth,NA
r (reproductive traits),"mostly unknown, tried to estimate by range size and abundance","100,000-1M",1000001m,Omobranchus anolius,fish_Beth,NA
physiological tolerance breadths,salinity (use habitat as surrogate),euryhaline,euryhaline,Omobranchus anolius,fish_Beth,NA
physiological tolerance breadths,ph (this is unknown for fish - but most can live between 6.5 and 9.0 ph,unknown,unknown,Omobranchus anolius,fish_Beth,NA
physiological tolerance breadths,low dissolved oxygen (use habitat and depth as surrogate?),high tolerance,hightolerance,Omobranchus anolius,fish_Beth,NA
specialisation,within-stage dependent habitats,Intertidal mud,intertidalmud,Omobranchus anolius,fish_Beth,NA
specialisation,across-stage dependent habitats,Intertidal mud,intertidalmud,Omobranchus anolius,fish_Beth,NA
specialisation,no for all fishes?,no,no,Omobranchus anolius,fish_Beth,NA
spatial scale of species,demersal = benthic resting on the bottom and/or  benthopelagic floating above the bottom. neritic is living on the continental shelf?,"intertidal, benthic",intertidalbenthic,Omobranchus anolius,fish_Beth,NA
biophysical traits,calcium carbonate structure location,internal (otoliths),internalotoliths,Omobranchus anolius,fish_Beth,NA
biophysical traits,biomineral,otoliths are aragonite,otolithsarearagonite,Omobranchus anolius,fish_Beth,NA
